fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 233916	-0.877362904791714	838	410	13	5	9286000	147
20220517 233949	-0.634785083243409	1869	874	8	5	10469000	148
20220517 234027	-0.584690814547826	1701	780	11	5	10033000	149
20220517 234101	-0.263540631012237	2176	1087	8	5	9918000	150
20220517 234131	-0.837087374825403	1610	798	7	5	9846000	151
20220517 234208	-0.835047435100862	2057	998	21	5	10035000	152
20220517 234246	-0.736071353685242	2325	1124	24	5	9746000	153
20220517 234325	-0.329502965245639	1937	921	12	5	10375000	154
20220517 234344	-0.682118713571523	2426	990	3	5	8327000	155
20220517 234422	-0.623216456603728	1664	774	20	5	10038000	156
20220517 234454	-0.688847571407112	1894	944	21	5	10485000	157
20220517 234524	-0.639696314690273	1491	658	10	5	9712000	158
20220517 234550	-0.57773756495201	1944	846	7	5	10504000	159
20220517 234612	-0.591142155771151	8585	4236	8	5	7815000	160
20220517 234644	-0.379770989644459	1831	807	14	5	10630000	161
20220517 234706	-0.280650661026905	10114	4753	16	5	8010000	162
20220517 234733	-0.295055897111964	4422	2019	25	5	8534000	163
20220517 234808	-0.522867960556217	1062	455	14	5	9812000	164
20220517 234834	-0.851048127026204	5787	2841	8	5	8386000	165
20220517 234903	-0.738681671170669	5549	2764	29	5	8539000	166
20220517 234934	-0.97041342064466	1895	944	14	5	10485000	167
20220517 234959	-0.996360720558561	7389	3693	14	5	8071000	168
20220517 235031	-0.775630986980893	2557	590	30	5	9732000	169
20220517 235047	-0.404294974414973	49959	10479	30	5	5746000	170
20220517 235105	-0.310151982955139	53619	30	10	5	5724000	171
20220517 235134	-0.433001144381112	13280	8	12	5	7123000	172
20220517 235201	-0.584900869500051	1818	858	8	5	10357000	173
20220517 235221	-0.91568903190936	15914	7924	15	5	5746000	174
20220517 235244	-0.18171882916357	1808	859	6	5	10289000	175
20220517 235317	-0.370957845180311	2122	461	12	5	10620000	176
20220517 235338	-0.774706252649173	10342	5162	30	5	7938000	177
20220517 235357	-0.352820863482676	19663	9755	16	5	5746000	178
20220517 235426	-0.644441153894274	27980	33	16	5	5718000	179
20220517 235452	-0.783896300813945	8413	1782	23	5	7996000	180
20220517 235515	-0.629721915022763	4958	1941	7	5	8451000	181
20220517 235536	-0.14905747238275	17345	6388	30	5	5746000	182
20220517 235552	-0.999613153572398	63708	6	30	5	5742000	183
20220517 235608	-0.967138238554163	56161	18	16	5	5738000	184
20220517 235626	-0.7693089209616	23037	11461	19	5	5908000	185
20220517 235648	-0.468266359161938	38653	584	13	5	5746000	186
20220517 235702	-0.84715313859978	79999	7708	30	5	5746000	187
20220517 235716	-0.998753389591234	73965	8318	30	5	5746000	188
20220517 235730	-0.999053928604435	25356	12489	3	5	6105000	189
20220517 235756	-0.701176752128319	38695	39	30	5	5691000	190
20220517 235826	-0.108291146691523	11201	380	20	5	6798000	191
20220517 235840	-0.349802793195355	29172	52	3	5	5746000	192
20220517 235855	-0.591541784448306	39539	19764	3	5	2081000	193
20220517 235912	-0.590396965954023	44589	3449	30	5	5746000	194
20220517 235939	-0.622905992481098	9081	1134	30	5	6993000	195
20220517 235956	-0.661057428141005	79961	4	18	5	5745000	196
20220518 000020	-0.375887426959376	7226	3552	11	5	8137000	197
20220518 000034	-0.523156495964936	68325	34	10	5	5746000	198
20220518 000101	-0.774606597071884	34762	58	21	5	5691000	199
20220518 000113	0.098836928085825	79979	1603	18	5	0	200
20220518 000127	-0.578277955787926	11806	31	3	5	6798000	201
20220518 000144	-0.409696345151644	27759	13810	24	5	6059000	202
20220518 000216	-0.430806632467203	2010	941	13	5	10520000	203
20220518 000238	-0.998754256029085	10392	4993	22	5	8012000	204
20220518 000311	-0.334033276215883	15543	68	20	5	5758000	205
20220518 000342	-0.575615667743937	2020	1001	14	5	10035000	206
20220518 000408	-0.588615012805382	17784	76	10	5	5758000	207
20220518 000431	-0.999728563648842	42755	63	30	5	5746000	208
20220518 000446	-0.894780084237305	76848	43	23	5	5746000	209
20220518 000514	-0.999999338198842	36850	8	27	5	5692000	210
