fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 010637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1013	TRUE	999983	0.0106676263109349	0.20858353455954	7287	945	0.018391432065472	13458000	85
20220606 010816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	736	TRUE	999983	0.0122108663708699	0.369755847529363	6557	1023	0.0172854226632159	13534000	86
20220606 011004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	999983	0.0102178265382482	0.520643094459074	4402	891	0.0147437364579249	13859000	87
20220606 011146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	555	TRUE	999983	0.0105154717263691	0.592245945080137	3416	1016	0.0148664143038122	13811000	88
20220606 011331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	514	TRUE	999983	0.0100951662039457	0.541197737517924	3667	919	0.0147999016515714	13787000	89
20220606 011439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	999983	0.0101225620186711	0.683277180956012	1381	1024	0.0144442452589719	13322000	90
20220606 011450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	999983	0.144270214374284	0.697006105100608	4212	1024	0.0145322202166506	12796000	91
20220606 011627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	471	TRUE	999983	0.0103960620512487	0.538372181067959	4402	1020	0.0147570810255752	13734000	92
20220606 011813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	556	TRUE	999983	0.010017639691617	0.537109711652091	4236	855	0.0147660329748293	13633000	93
20220606 011945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	528	TRUE	999983	0.0100088705825476	0.369873775716743	4896	906	0.0173588207796596	13544000	94
20220606 012056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	517	TRUE	999983	0.0100124674362747	0.743570603304992	3951	241	0.0159881114728989	13327000	95
20220606 012159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	508	TRUE	999983	0.0101497060918586	0.996716594666351	8000	321	0.0148137491012402	13134000	96
20220606 012256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	462	TRUE	999983	0.0100702551170451	0.870993317200023	7455	19	0.0148025755576987	13061000	97
20220606 012410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	378	TRUE	999983	0.0170491837108822	0.513707755020297	2711	1002	0.0164265424148203	13688000	98
20220606 012602	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	654	TRUE	999983	0.0101087711211079	0.510380076299665	4812	940	0.0169300929130834	13819000	99
20220606 012646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	388	TRUE	999983	0.0193146891780574	0.999416036569628	4925	413	0.0193660835792272	12964000	100
20220606 012700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.172776841921242	0.390578503992119	7843	16	0.0171509222118718	13438000	101
20220606 012708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.233093192688581	0.999779897219078	7993	159	0.0145136348156121	12770000	102
20220606 012838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	580	TRUE	999983	0.0108639908468509	0.38363506776252	6655	30	0.0175994239803702	13715000	103
20220606 013006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	306	TRUE	999983	0.010484698777247	0.211276376152532	722	1023	0.01454014161613	12958000	104
20220606 013121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	999983	0.0104725255677351	0.997067438511108	1747	212	0.0145585750471068	13411000	105
20220606 013340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1114	TRUE	999983	0.0102990363547611	0.387729276961447	7994	135	0.0176771701649473	13160000	106
20220606 013443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	611	TRUE	999983	0.0111049971064594	0.997879549575395	7569	1022	0.0169540795851607	13022000	107
20220606 013613	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	470	TRUE	999983	0.0107429633536675	0.50638562150076	6259	904	0.0150801386932038	13655000	108
20220606 013733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	826	TRUE	999983	0.0100855563383138	0.694643479684472	6533	1022	0.0180018076037737	13349000	109
20220606 013746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	999983	0.167774454546223	0.334185994892638	6913	544	0.017519930529047	12775000	110
20220606 013916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	386	TRUE	999983	0.0107220824512496	0.509299217662727	3124	990	0.0146205620491319	13733000	111
20220606 013923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	999983	0.289498333303181	0.999329325854897	1999	16	0.0145420808728078	11536000	112
20220606 014100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	478	TRUE	999983	0.0100615613448411	0.515143130129051	4431	916	0.0168961257227706	14022000	113
20220606 014215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501	TRUE	999983	0.0105215589137409	0.995797668527391	3032	1024	0.0151036800666594	13308000	114
20220606 014332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	527	TRUE	999983	0.0107850781858618	0.224835675757638	4	16	0.0162443791808788	13225000	115
20220606 014504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	621	TRUE	999983	0.0104906096835248	0.36180225082294	1470	19	0.0174520596677063	13330000	116
20220606 014513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	13	TRUE	999983	0.299736969533635	0.20019046958938	3185	408	0.0142788736002345	11824000	117
20220606 014524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	999983	0.221826409711882	0.509556750836148	6096	16	0.0155593938812083	12607000	118
20220606 014651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	757	TRUE	999983	0.0101675667684545	0.791273916008462	3870	1020	0.0171696075452936	13564000	119
20220606 014743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	999983	0.0114591483653741	0.9999621961277	2	16	0.0137391108746373	13573000	120
