fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220606 235105	0	0	0	1	hist	lossguide	256	0	1	0.299647689386677	0.893108502563627	7	239	0.00837294529587043	3	10011000	105
20220606 235442	0	0	0	1	hist	lossguide	256	0	1	0.0102023906151304	0.600995932887471	4	989	0.00834135262315925	65	12610000	106
20220606 235515	0	0	0	1	hist	lossguide	256	0	1	0.273980864663235	0.200047279403245	6	133	0.00958596371843791	9	10798000	107
20220606 235834	0	0	0	1	hist	lossguide	256	0	1	0.0101006185964423	0.576857332656829	5	558	0.00836865908955597	80	12747000	108
20220606 235908	0	0	0	1	hist	lossguide	256	0	1	0.175020617811286	0.347270520957588	10	2	0.0151547501143226	164	12934000	109
20220607 000351	0	0	0	1	hist	lossguide	256	0	1	0.010036727930393	0.485048170308408	10	266	0.0215416310589098	532	12851000	110
20220607 000537	0	0	0	1	hist	lossguide	256	0	1	0.0257831580087081	0.20014538641912	4	956	0.0148944713506999	74	12965000	111
20220607 000605	0	0	0	1	hist	lossguide	256	0	1	0.299996825658892	0.230687979163642	10	3	0.0200978968059347	72	12466000	112
20220607 001023	0	0	0	1	hist	lossguide	256	0	1	0.0102520852327504	0.587262360892363	7	1012	0.0207645395614608	317	12135000	113
20220607 001540	0	0	0	1	hist	lossguide	256	0	1	0.0101196591805712	0.200858501573002	5	215	0.015000750731023	527	13117000	114
20220607 001611	0	0	0	1	hist	lossguide	256	0	1	0.122880047847673	0.635554312703677	10	999	0.0135486282736861	12	12308000	115
20220607 001737	0	0	0	1	hist	lossguide	256	0	1	0.0237656231344643	0.645153902406623	8	840	0.00834125817730539	15	12013000	116
20220607 001903	0	0	0	1	hist	lossguide	256	0	1	0.0110460131377235	0.661749147636211	3	4	0.00833407805894479	98	11994000	117
20220607 001946	0	0	0	1	hist	lossguide	256	0	1	0.0812224605178995	0.20030611701335	8	873	0.0159353769025651	32	12979000	118
20220607 002335	0	0	0	1	hist	lossguide	256	0	1	0.0101651297213497	0.997514899547456	10	812	0.0128834773688201	286	13181000	119
20220607 002714	0	0	0	1	hist	lossguide	256	0	1	0.0104399982762376	0.999242418092696	10	145	0.0317965686653	241	10205000	120
20220607 003008	0	0	0	1	hist	lossguide	256	0	1	0.010382620784644	0.63084036983334	10	3	0.0275266156743752	771	12225000	121
20220607 003818	0	0	0	1	hist	lossguide	256	0	1	0.0101223527404601	0.83038407620745	10	2	0.0230911376577809	3897	13160000	122
20220607 004522	0	0	0	1	hist	lossguide	256	0	1	0.010289734959085	0.387010445847115	6	3	0.0149231228701537	2776	13710000	123
20220607 004934	0	0	0	1	hist	lossguide	256	0	1	0.010622634558643	0.393803113703313	5	929	0.0155417693546616	298	12542000	124
20220607 005014	0	0	0	1	hist	lossguide	256	0	1	0.0993460057168727	0.288772621629179	6	2	0.015075303504525	162	13039000	125
20220607 005412	0	0	0	1	hist	lossguide	256	0	1	0.0111215826898314	0.999942305398654	4	408	0.0122594869209255	144	12577000	126
20220607 005657	0	0	0	1	hist	lossguide	256	0	1	0.011780727808219	0.47872702171664	6	10	0.015032783636818	494	13368000	127
20220607 010105	0	0	0	1	hist	lossguide	256	0	1	0.0102599883556129	0.620533952794818	4	658	0.0153952177649725	171	12871000	128
